id,nama_sekolah,alamat,kontak,nspn
774,SMA Al Mamuniyah,Pasirgadung Rt. 01 Rw. 04,-,20613523
775,SMA Tarakanita Gs,Jl. Raya Kelapa Cengkir Tengah No. 1 Sektor 7 Gading Serpong Telp. 0215473082,-,20613524
776,SMA 46 Daar El Gusti,Kp. Peusar Rt 02/01 Pos 15810 Telp. 5987321/98805713,-,20613525
777,SMA Darul Mujtahidin,Pasar Kemis,-,20613526
778,SMA Plus Putra Bangsa,Jl. Amd Cibarengkok Kp Peusar,-,20613527
779,SMAN 17 Kabupaten Tangerang,Perum Legok Indah Babakan Legok,-,20613528
780,SMAN 4 Cilegon,Link.Kahal,-,20613531
781,SMAN 20 Kabupaten Tangerang,Jl. Raya K.H. Saadullah Km. 2 Buaran Bambu Pakuhaji,-,20613548
782,SMAN 21 Kabupaten Tangerang,Jl. Raya Rawa Kidang Sukadiri,-,20613544
783,SMA Hiro,Jl. Teluknaga,-,20613545
784,SMA Global Jaya,Jl. Pondok Aren,-,20613551
785,SMA N 8 Kota Tangerang Selatan,Jl. Cireundeu Raya No. 5,-,20613552
786,SMAN 10 Kota Tangerang Selatan,Jl. Raya Tegal Rotan,-,20613553
787,SMAN 29 Kabupaten Tangerang,Jl. Syekh Nawawi Albantani Kedung Kresek,-,20613561
788,SMA N 1 Panongan,Jl. Raya Korelet No. 1 Ranca Kalapa - Panongan,-,20613603
789,MA Mathlaul Anwar  Gunungkencana,Jl. Raya Cileles Km. 01 - Kec. Gunungkencana,-,20613604
790,SMA Gemilang 1 Paku Haji,Jl. Raya Pakuhaji Kp. Buaran Jarak,-,20613623
791,SMA Taruna Mandiri,Pamulang,-,20613624
792,SMA Islam Cikal Harapan,Kencana Loka Blok B.09 / No. 1 Sektor Xii - 1,-,20613625
793,SMA Karya Pembangunan,Jambe,-,20613626
794,SMA Al-Multazam,Sepatan,-,20613627
795,MA Al-Ghurauf,Jl. Syech Nawawi Km.7 Tambakbaya Cibadak,-,20613636
796,SMA Ypa Al Hidayah,Jl. Sunan Kudus Iv Link. Kubang Welut,-,20613639
797,SMA S Daar El-Karim,Jl. Raya Bayah Km. 07 Pagelaran Malingping,-,20613647
798,MA Al-Islah,Desa Mekarsari - Panggarangan,-,20613648
799,MA Sultan Hasanudin,Desa Sangkanwangi - Leuwidamar,-,20613649
800,MA Al-Mujahidin,Desa Bendungan - Banjarsari,-,20613650
801,MA Rm Fatahillah,Desa Cikareo - Cileles,-,20613651
802,MA Mathlaul Anwar,Desa Cijaku - Kec. Cijaku,-,20613652
803,MA Nurul Falah,Desa Kaduagung Timur - Cibadak,-,20613656
804,MA Manahijussadat,Pasarkeong - Cibadak,-,20613657
805,MA Mathlaul Anwar,Kp. Binuangeun Desa Muara - Wanasalam,-,20613658
806,MA Al-Amin,Cipining Kec. Curugbitung,-,20613659
807,SMA Islam Az Zamir,Jl. Lumba-Lumba No. 3 Kunciran Indah Pinang,-,20613693
808,SMA Citra Bangsa,Jl. Moh. Toha Raya No. 168D Periuk,-,20613692
809,MA Raudlatussalam Songgom Jaya,Kp. Songgom Jaya Ds. Songgom  Kec. Cikande,-,20614085
810,MA Miftahul Huda,Kp. Roke Ds. Candi Kec. Curugbitung,-,20613762
811,SMA Imtek,Jl. Raya Pagedangan Ds. Cicalengka,-,20613766
812,SMAN 6 Kota Tangerang Selatan,Komplek Pamulang Permai I,-,20613768
813,SMAN 1 Legok,Perum Legok Indah,-,20613769
814,SMAN 1 Serpong,Villa Melati Ma Blok J,-,20613770
815,SMAN 28 Kabupaten Tangerang,Jl. Raya Cisauk,-,20613771
816,SMA Saint John,Jl. Kencana Loka Raya No. 8 Sektor Xii Bsd,-,20613806
817,SMA Mentari,Jl. Parigi Baru No. 8,-,20614004
818,SMA Nusantara,Jl. Syekh Ciliwulung,-,20613793
819,SMA  Mathlaul Anwar Cinangka,Jl. Palka Sadatani,-,20613799
820,SMA Al-Khaeriyah Kelapian Pontang,Desa Kelapian,-,20613804
821,SMA Terpadu Al-Jauhratunnaqiyah,Jl. Link Utara,-,20613811
822,SMA Nurul Hidayah,Jl. Desa Pasir Gadung - Pasir Jaya,-,20613820
823,SMA Al - Mubarok,Jl. Syeikh Mubarok Kp. Kelapa Dua,-,20613821
824,SMA Islam Sirojul Athfal,"Jl. Raya Cangkudu Cisoka Km.1 ( Depan Masjid Jami "" Hidayatul Jihad Banoga )",-,20613822
825,MA Al Husna,Kp. Bayur,-,20613823
826,SMA Atisa Dipamkara,Jl. Villa Permata ( Komplek Vihara Vajra Bumi Nusantara,-,20613824
827,SMA Kristen Bhakti Prima,Jl. Beringin No. 8 Pamulang Barat,-,20613825
828,SMA Citra Islami,Komplek Perumahan Citra Raya,-,20613826
829,MA Darussaadah,Jl. Siliwangi Km 3 Alam Jaya,-,20613848
830,SMAN 25 Kabupaten Tangerang,Jl. Kh. Hasyim Ashari Km. 1 Sepatan Timur,-,20613833
831,MA At Tahiyah,Jl. Kh A. Dahlan Cantiga Petir,-,20613850
832,SMA Cikal Harapan-Non Aktif,Jl. Kencana Loka Raya  Sektor Xii Bsd,-,20613863
833,SMA  Yadika 10,Jl. Salembaran Raya No. 26 Telp (021) 55930932,-,20613865
834,MA Al-Kahiriyah Citangkil,Jl. Engkus Arja Kampus Citangkil,-,20613584
835,SMAN 01 Sajira,Jl. Raya Cipanas Km. 17 Karoya,-,20613868
836,SMA Islam Pembangunan Sajira,Jl. Kopi Maja Km. 01 Taman Palm Sajira,-,20613885
837,SMK Al-Hikma,Kp. Pangkalan Rt 04 Rw 02,-,20613886
838,SMA Daar El-Kutub,Jl. Raya Bayah-Malingping Km 03,-,20613903
839,SMA Negeri 1 Curugbitung,Jl. Maja Jasinga Km. 15 Curugbitung,-,20613913
840,SMA Nurul Hasanah,Jl. Raya Cipanas Km. 07 Rangkasbitung,-,20613917
841,SMAN 2 Banjarsari,Jl. Kumpay No. 28 Kec. Banjarsari,-,20613919
842,SMA Nur El Falah,Jl. Raya Abdul Kabier,-,20613955
843,SMAN 1 Tunjung Teja,Tunung Teja - Kab.Serang,-,20613958
844,SMA Daarul Hikmah-Bolang,Jl. Sentul Jonjing,-,20613968
845,SMA Plus Al Khairiyah Badamusalam,Jl. Raya Sawah Luhur Km 7,-,20613976
846,SMA Islam Terpadu Al-Quraniyyah,Jl. Panti Asuhan Ceger,-,20614003
847,SMA It La Royba,Kp. Kelodran,-,20614005
848,SMA Mkgr Sepatan,Jl. Raya Pakuhaji,-,20614014
849,SMA Yapim,Jl. Raya Serang Km.24 Talagasari Balaraja,-,20614032
850,SMA Asa Pertiwi,Kp. Bedug Lora Ds. Onyam Gunung Kaler Telp. 085885323606,-,20614035
851,SMA Yaspidam,Jl. Raya Serang Km 35 Warudoyong Gandasari Jayanti Telp 02170594926,-,20614045
852,SMAN 26 Kabupaten Tangerang,Jl. Raya Kemiri,-,20614057
853,SMA Nurul Islah,Jl. Raya Petir-Cikeusal,-,20614079
854,MA Nurul Muhtadin,Kp. Tigamaya,-,20614080
855,MA Nurussamawati Wal Ardhi,Ciujung Kelapa Dua - Kragilan,-,20614082
856,MA Raudlatul Hikmah Sukatani,Ds. Sukatani - Cikande,-,20614084
857,MA Mathlab El Awam,Kp. Sema Bojong - Cikande,-,20614086
858,MA Ashabul Maimanah Cikobak,Kp. Sidayu,-,20614087
859,MA Ashabul Maimanah Sedayu,Kp. Sidayu,-,20614088
860,MA Al Hikmah Sujung,Jl. Sa Tirtayasa,-,20614090
861,MA Nurul Alami,Kp. Panyaweyan - Cikeusal,-,20614091
862,MA Al Hidayah,Ds. Sukaratu-Cikeusal,-,20614092
863,MA Al Islah,Jl. Raya Cikeusal Panosogan - Cikeusal,-,20614093
864,MA Al Khaeriyah Sindanglaya,Jl. Cidanau Ciparay - Cinangka,-,20614094
865,MA Al Khaeriyah Kareo Genggong,Kp. Kareo Genggong,-,20614095
866,MA Nurul Falah Bojong Pandan,Kp. Peujeuh - Tunjung Teja,-,20614096
867,MA Jamiatul Ikhwan,Kp. Pasir Buntu -  Tunjung Teja,-,20614097
868,MA Nur El Khoir,Kp. Babakan,-,20614098
869,MA Darul Ihsan,Kp. Pengampelan Pabuaran - Walantaka,-,20614099
870,MA Miftahunnajah,Kp. Lamongan - Kramatwatu,-,20614101
871,SMA Manbaul Hikmat,Jl. Rego Km.4 Padasuka,-,20614141
872,MA Al-Khairiyah Karang Tengah,Jl.Pabean No.05 Karang Tengah,-,20614148
873,SMA Negeri Sobang 1,Jl. Muncang-Sobang,-,20614150
874,SMA Masyariqul Anwar,Jl. Darel Qolam No. 25 Rt 07/02 Gintung Jayanti,-,20614153
875,MA Nasyrul Ulum Bani Sholeh,Jl. Pabean No.05 Link.Pasar Bunder,-,20614166
876,MA An-Nidomiyah,Jl.Kh. Simin No.606 Daliran Kebon Dalem,-,20614202
877,SMA  Al Falahiyah,Jl. Raya Kemeri No. 4,-,20614224
878,SMA Al Fahmi,Kp. Kubang Apu Rt.03/02,-,20614236
879,SMA Qothrotul Falah Cikulur Double Sekolah Jangan Di Sisi,Jl.Sampay-Cileles Km.05,-,20614266
880,MA Fathurrobbaaniy,Kp. Karoya Pasir Rt 08/03 Carenang Cisoka,-,20614269
881,MA Al-Furqon,Jl.Maulana Yusuf No.19A Tegal Cabe,-,20614353
882,SMA Mutiara Kasih,Jl. Empu Tantular Telp 0215913715 Karawaci,-,20614369
883,SMA Candle Tree,Jl. Jati No. 1 Jelupang Serpong,-,20614382
884,SMA Mutiara Bangsa 2,Jl. Husen Sastranegara No. 29 Benda,-,20614409
885,SMAN 18 Kabupaten Tangerang,Jl. Ariya Jaya Santika No. 25 Tigaraksa,-,20614413
886,SMA Nuur El-Bantany,Jl.Raya-Sayabulu Km 1,-,20614415
